processRunId,scenario,provider,fork,block,orderPosition,phase,analysisSet,cycleObservationCount,blockValid,semanticGatePassed,performanceComparisonEligible,includedInPerformanceSummary,redeployReadyAllCycles,observedMedian_operationsPerSecond,comparisonMedian_operationsPerSecond,observedMedian_readOperationsPerSecond,comparisonMedian_readOperationsPerSecond,observedMedian_fillOperationsPerSecond,comparisonMedian_fillOperationsPerSecond,observedMedian_latencyP50Nanos,comparisonMedian_latencyP50Nanos,observedMedian_latencyP95Nanos,comparisonMedian_latencyP95Nanos,observedMedian_latencyP99Nanos,comparisonMedian_latencyP99Nanos,observedMedian_measuredLatencySamples,comparisonMedian_measuredLatencySamples
article1-unified-v4-2-fb3f101b-20260903-000401-default-f02-p1-ehcache,default,ehcache,2,2,1,redeploy,primary-all-cycles,5,True,True,True,True,True,22523030.08161541,22523030.08161541,22523030.08161541,22523030.08161541,1438267.198691292,1438267.198691292,181.0,181.0,331.0,331.0,591.0,591.0,1760500.0,1760500.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f02-p1-ehcache,default,ehcache,2,2,1,initial,sensitivity-without-cycle-1,4,True,True,True,True,True,22863032.61189495,22863032.61189495,22863032.61189495,22863032.61189495,1478954.5237864703,1478954.5237864703,180.0,180.0,320.5,320.5,556.0,556.0,1798966.0,1798966.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f02-p1-ehcache,default,ehcache,2,2,1,redeploy,sensitivity-without-cycle-1,4,True,True,True,True,True,21856122.333359793,21856122.333359793,21856122.333359793,21856122.333359793,1415595.1706158817,1415595.1706158817,181.0,181.0,331.0,331.0,591.0,591.0,1711364.0,1711364.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f02-p2-cache2k,default,cache2k,2,2,2,initial,primary-all-cycles,5,True,True,True,True,True,29102944.012429234,29102944.012429234,29102944.012429234,29102944.012429234,1473344.4727997773,1473344.4727997773,150.0,150.0,340.0,340.0,531.0,531.0,2274816.0,2274816.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f02-p2-cache2k,default,cache2k,2,2,2,redeploy,primary-all-cycles,5,True,True,True,True,True,29544166.822933957,29544166.822933957,29544166.822933957,29544166.822933957,2326946.7178067504,2326946.7178067504,150.0,150.0,330.0,330.0,521.0,521.0,2309244.0,2309244.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f02-p2-cache2k,default,cache2k,2,2,2,initial,sensitivity-without-cycle-1,4,True,True,True,True,True,28960541.98925658,28960541.98925658,28960541.98925658,28960541.98925658,1627956.58070517,1627956.58070517,150.5,150.5,340.5,340.5,536.0,536.0,2263670.0,2263670.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f02-p2-cache2k,default,cache2k,2,2,2,redeploy,sensitivity-without-cycle-1,4,True,True,True,True,True,30029587.742185432,30029587.742185432,30029587.742185432,30029587.742185432,2339733.604130111,2339733.604130111,145.5,145.5,325.5,325.5,511.0,511.0,2347312.0,2347312.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f02-p3-caffeine,default,caffeine,2,2,3,initial,primary-all-cycles,5,True,True,True,True,True,27118600.83305417,27118600.83305417,27118600.83305417,27118600.83305417,1506356.2207089034,1506356.2207089034,140.0,140.0,280.0,280.0,481.0,481.0,2119596.0,2119596.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f02-p3-caffeine,default,caffeine,2,2,3,redeploy,primary-all-cycles,5,True,True,True,True,True,26224690.272721075,26224690.272721075,26224690.272721075,26224690.272721075,1497083.5315721442,1497083.5315721442,140.0,140.0,301.0,301.0,501.0,501.0,2070280.0,2070280.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f02-p3-caffeine,default,caffeine,2,2,3,initial,sensitivity-without-cycle-1,4,True,True,True,True,True,27612300.352228276,27612300.352228276,27612300.352228276,27612300.352228276,1814909.4091668772,1814909.4091668772,140.0,140.0,285.0,285.0,481.0,481.0,2158170.0,2158170.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f02-p3-caffeine,default,caffeine,2,2,3,redeploy,sensitivity-without-cycle-1,4,True,True,True,True,True,26356265.433701575,26356265.433701575,26356265.433701575,26356265.433701575,1422254.2977688904,1422254.2977688904,140.0,140.0,296.0,296.0,486.0,486.0,2070926.0,2070926.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f02-p4-jcs4,default,jcs4,2,2,4,initial,primary-all-cycles,5,True,True,True,True,True,856131.3993073169,856131.3993073169,856131.3993073169,856131.3993073169,3300224.38225575,3300224.38225575,541.0,541.0,2525.0,2525.0,286010.0,286010.0,66904.0,66904.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f02-p4-jcs4,default,jcs4,2,2,4,redeploy,primary-all-cycles,5,True,True,True,True,True,935911.2963568326,935911.2963568326,935911.2963568326,935911.2963568326,3801080.343055103,3801080.343055103,491.0,491.0,2073.0,2073.0,293264.0,293264.0,73132.0,73132.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f02-p4-jcs4,default,jcs4,2,2,4,initial,sensitivity-without-cycle-1,4,True,True,True,True,True,833776.8181388052,833776.8181388052,833776.8181388052,833776.8181388052,3411539.5391193368,3411539.5391193368,586.0,586.0,2545.0,2545.0,294015.5,294015.5,65158.0,65158.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f02-p4-jcs4,default,jcs4,2,2,4,redeploy,sensitivity-without-cycle-1,4,True,True,True,True,True,938808.1206275853,938808.1206275853,938808.1206275853,938808.1206275853,3742727.868323114,3742727.868323114,481.0,481.0,2033.5,2033.5,282246.0,282246.0,73360.0,73360.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f02-p5-nostore,default,nostore,2,2,5,initial,primary-all-cycles,5,True,True,False,False,True,95352300.05653298,,95352300.05653298,,15651264.778706767,,40.0,,171.0,,291.0,,7461772.0,
article1-unified-v4-2-fb3f101b-20260903-000401-default-f02-p5-nostore,default,nostore,2,2,5,redeploy,primary-all-cycles,5,True,True,False,False,True,96000061.33671767,,96000061.33671767,,10707922.149122806,,40.0,,171.0,,291.0,,7515764.0,
article1-unified-v4-2-fb3f101b-20260903-000401-default-f02-p5-nostore,default,nostore,2,2,5,initial,sensitivity-without-cycle-1,4,True,True,False,False,True,94783326.79433873,,94783326.79433873,,15972165.7135626,,40.0,,171.0,,291.0,,7414894.0,
article1-unified-v4-2-fb3f101b-20260903-000401-default-f02-p5-nostore,default,nostore,2,2,5,redeploy,sensitivity-without-cycle-1,4,True,True,False,False,True,96183282.13331561,,96183282.13331561,,12219310.967118677,,40.0,,171.0,,291.0,,7526572.0,
article1-unified-v4-2-fb3f101b-20260903-000401-default-f02-p6-jcs321,default,jcs321,2,2,6,initial,primary-all-cycles,5,True,True,False,False,True,2568048.016449769,,2568048.016449769,,3369985.2933841795,,341.0,,992.0,,204764.0,,200656.0,
article1-unified-v4-2-fb3f101b-20260903-000401-default-f02-p6-jcs321,default,jcs321,2,2,6,redeploy,primary-all-cycles,5,True,True,False,False,True,2828222.849653872,,2828222.849653872,,3151658.1030863244,,301.0,,862.0,,200132.0,,221000.0,
article1-unified-v4-2-fb3f101b-20260903-000401-default-f02-p6-jcs321,default,jcs321,2,2,6,initial,sensitivity-without-cycle-1,4,True,True,False,False,True,2548600.654510091,,2548600.654510091,,3147567.6914176345,,341.0,,992.0,,206439.5,,199138.0,
article1-unified-v4-2-fb3f101b-20260903-000401-default-f02-p6-jcs321,default,jcs321,2,2,6,redeploy,sensitivity-without-cycle-1,4,True,True,False,False,True,2667995.1638307706,,2667995.1638307706,,3469448.5385540687,,316.0,,907.0,,202670.5,,208474.0,
article1-unified-v4-2-fb3f101b-20260903-000401-default-f03-p1-cache2k,default,cache2k,3,3,1,initial,primary-all-cycles,5,True,True,True,True,True,28694693.01226229,28694693.01226229,28694693.01226229,28694693.01226229,1483292.1966964116,1483292.1966964116,151.0,151.0,351.0,351.0,532.0,532.0,2242960.0,2242960.0
